C0000100,y_true,duration,event,max_partial_hazard,mean_partial_hazard,n_intervals,prediction_matched_base_rate,correct_matched_base_rate
120302,1,7.0,1,0.9741922721556385,0.9741922721556385,4,0,False
120701,0,21.0,0,0.8172710372326707,0.6531923968414668,11,0,True
121006,1,7.0,1,1.7126261633906776,1.3307785093351607,4,1,True
121302,0,21.0,0,1.5781947409338857,1.3304598870802897,11,1,False
121603,0,19.0,0,0.699633516521562,0.5880581570264134,10,0,True
121604,1,5.0,1,2.015527989006031,1.797326265590993,3,1,True
122002,0,19.0,0,5.810256979521909,4.116321098989344,10,1,False
122401,0,19.0,0,0.6727968252382998,0.6240540333545478,10,0,True
122402,1,3.0,1,0.669857063700715,0.669857063700715,2,0,False
122501,0,19.0,0,0.849970737131506,0.7477933909984898,10,0,True
