csv_code,coefficient,survey_year,feature_group,question,abs_coefficient
C1435700,0.10074838590763235,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.10074838590763235
C1140400,0.10050497746028006,1992,substance/risk behavior,CHILD SELF-ADMINISTERED: CHILD'S AGE WHEN FIRST USED MARIJUANA,0.10050497746028006
C0782600,0.09589738124892587,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.09589738124892587
C1140100,0.0956081109944427,1992,substance/risk behavior,CHILD SELF-ADMINISTERED: CHILD'S AGE WHEN FIRST DRANK ALCOHOL,0.0956081109944427
C0578100,0.09551668558819226,1986,school/achievement,MEMORY FOR LOCATION:  TOTAL RAW SCORE,0.09551668558819226
Y0671000,-0.0954244483012304,1996,prior delinquency/contact,YA SELF-REPORT: EVER CONVICTED OF ASSAULT?,0.0954244483012304
Y0668900,-0.09502403067153867,1996,prior delinquency/contact,YA SELF-REPORT: EVER IN LAST YEAR DAMAGED PROPERTY OF OTHERS ON,0.09502403067153867
C1637000,-0.09405690585999783,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.09405690585999783
C1194100,0.09358165921590436,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,0.09358165921590436
C1220200,-0.09248733886261269,1994,health,HEALTH: CHILD'S HEIGHT - FEET,0.09248733886261269
C0127914,-0.0912970853549475,1994,family/home,# HOUSEHOLD MEMBERS AGED 12 - 17 IN HOUSEHOLD OF MOTHER,0.0912970853549475
C0007000,-0.08911839556806406,XRND,background,AGE OF MOTHER AT BIRTH OF CHILD,0.08911839556806406
C1798400,-0.08876869839150238,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS,0.08876869839150238
C1562600,0.08845213959477363,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS,0.08845213959477363
Y0670200,0.0874103124819009,1996,prior delinquency/contact,YA SELF-REPORT: HAVE YOU EVER IN LAST YEAR HURT SOMEONE ENOUGH TO,0.0874103124819009
C0985600,0.08540245424895097,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.08540245424895097
C0995200,0.08534779115934593,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - ALL CHILDREN,0.08534779115934593
C0564300,-0.08490882233696748,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.08490882233696748
C0945300,0.08484732785430467,1990,substance/risk behavior,CHILD SELF-ADMINISTERED: R'S AGE WHEN FIRST USED ANY DRUGS,0.08484732785430467
