C0000100,C0000200,later_any_delinquency_contact_2000_2020,later_persistent_delinquency_contact_2000_2020,later_delinquency_contact_positive_item_count_2000_2020,later_delinquency_contact_positive_year_count_2000_2020,later_delinquency_contact_first_event_year_2000_2020,later_delinquency_contact_second_event_year_2000_2020,later_delinquency_contact_last_observed_year_2000_2020,later_any_justice_contact_2000_2020,later_persistent_justice_contact_2000_2020,later_justice_contact_positive_item_count_2000_2020,later_justice_contact_positive_year_count_2000_2020,later_justice_contact_first_event_year_2000_2020,later_justice_contact_second_event_year_2000_2020,later_justice_contact_last_observed_year_2000_2020
305803.0,3058.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
305804.0,3058.0,1.0,1.0,4.0,2.0,2002.0,2004.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
305805.0,3058.0,1.0,1.0,5.0,3.0,2006.0,2008.0,2020.0,1.0,0.0,1.0,1.0,2014.0,,2020.0
306101.0,3061.0,1.0,1.0,4.0,2.0,2008.0,2010.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
306601.0,3066.0,1.0,1.0,5.0,4.0,2002.0,2006.0,2020.0,1.0,1.0,5.0,4.0,2002.0,2006.0,2020.0
306602.0,3066.0,1.0,1.0,7.0,3.0,2002.0,2004.0,2014.0,1.0,1.0,3.0,2.0,2004.0,2010.0,2014.0
306801.0,3068.0,,,,,,,,,,,,,,
306802.0,3068.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
306901.0,3069.0,1.0,1.0,4.0,4.0,2008.0,2010.0,2020.0,1.0,1.0,4.0,4.0,2008.0,2010.0,2020.0
306902.0,3069.0,1.0,1.0,4.0,2.0,2002.0,2004.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
307301.0,3073.0,1.0,1.0,5.0,3.0,2006.0,2008.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
307302.0,3073.0,1.0,1.0,5.0,3.0,2012.0,2014.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
307401.0,3074.0,1.0,1.0,3.0,2.0,2000.0,2002.0,2012.0,0.0,0.0,0.0,0.0,,,2012.0
307402.0,3074.0,,,,,,,,,,,,,,
307403.0,3074.0,,,,,,,,,,,,,,
307501.0,3075.0,1.0,1.0,5.0,4.0,2000.0,2004.0,2018.0,1.0,1.0,5.0,4.0,2000.0,2004.0,2018.0
307801.0,3078.0,,,,,,,,,,,,,,
307802.0,3078.0,,,,,,,,,,,,,,
307901.0,3079.0,1.0,0.0,2.0,1.0,2002.0,,2014.0,0.0,0.0,0.0,0.0,,,2014.0
308001.0,3080.0,1.0,1.0,4.0,2.0,2004.0,2006.0,2018.0,0.0,0.0,0.0,0.0,,,2018.0
308101.0,3081.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
308501.0,3085.0,1.0,0.0,2.0,1.0,2012.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
309301.0,3093.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
309302.0,3093.0,1.0,1.0,4.0,2.0,2002.0,2004.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
309501.0,3095.0,1.0,0.0,1.0,1.0,2006.0,,2018.0,1.0,0.0,1.0,1.0,2006.0,,2018.0
309502.0,3095.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
309601.0,3096.0,0.0,0.0,0.0,0.0,,,2016.0,0.0,0.0,0.0,0.0,,,2016.0
309602.0,3096.0,1.0,1.0,3.0,2.0,2002.0,2008.0,2010.0,0.0,0.0,0.0,0.0,,,2010.0
309801.0,3098.0,1.0,1.0,4.0,2.0,2002.0,2004.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
309802.0,3098.0,1.0,1.0,6.0,4.0,2002.0,2004.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
309901.0,3099.0,1.0,1.0,4.0,2.0,2008.0,2010.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
309902.0,3099.0,1.0,1.0,5.0,3.0,2010.0,2012.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
310101.0,3101.0,1.0,0.0,1.0,1.0,2000.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
310102.0,3101.0,1.0,1.0,4.0,3.0,2000.0,2002.0,2010.0,1.0,0.0,1.0,1.0,2010.0,,2010.0
310103.0,3101.0,1.0,1.0,11.0,5.0,2000.0,2002.0,2020.0,1.0,1.0,6.0,4.0,2002.0,2004.0,2020.0
310501.0,3105.0,0.0,0.0,0.0,0.0,,,2014.0,0.0,0.0,0.0,0.0,,,2014.0
