C0000100,C0000200,C0005300,C0005400,C0005700,C0005800,C0007000,first_observed_age,last_observed_age,n_observed_age_years,n_observed_age_years_15_25,any_observed_age_ge_25,observed_age_year_count_15_25,observed_survey_years_15_25,violence_positive_age_year_count_15_25,violence_first_event_age_15_25,violence_second_event_age_15_25,violence_last_event_age_15_25,violence_positive_survey_years_15_25,eligible_observed_through_age_25,persistent_violence_contact_age15_25,predictor_cutoff_age,predictor_cutoff_year
15301,153.0,3.0,1.0,1985.0,1.0,22.0,17.0,27.0,5.0,4.0,True,4.0,2002;2006;2008;2010,1,17.0,,17.0,2002,True,0.0,15,2000.0
15302,153.0,3.0,2.0,1986.0,2.0,23.0,16.0,26.0,6.0,5.0,True,5.0,2002;2004;2006;2008;2010,0,,,,,True,0.0,15,2001.0
15701,157.0,3.0,2.0,1985.0,1.0,22.0,23.0,23.0,1.0,1.0,False,1.0,2008,0,,,,,False,,15,2000.0
15702,157.0,3.0,1.0,1987.0,2.0,25.0,21.0,25.0,3.0,3.0,True,3.0,2008;2010;2012,0,,,,,True,0.0,15,2002.0
15801,158.0,3.0,2.0,1985.0,1.0,26.0,,,,,,,,0,,,,,False,,15,2000.0
15802,158.0,3.0,1.0,1988.0,2.0,30.0,,,,,,,,0,,,,,False,,15,2003.0
15901,159.0,3.0,1.0,1985.0,1.0,25.0,15.0,25.0,2.0,2.0,True,2.0,2000;2010,0,,,,,True,0.0,15,2000.0
15902,159.0,3.0,1.0,1987.0,2.0,27.0,21.0,25.0,3.0,3.0,True,3.0,2008;2010;2012,0,,,,,True,0.0,15,2002.0
15903,159.0,3.0,1.0,1990.0,3.0,29.0,,,,,,,,0,,,,,False,,15,2005.0
15904,159.0,3.0,2.0,1993.0,5.0,32.0,,,,,,,,0,,,,,False,,15,2008.0
15905,159.0,3.0,2.0,1993.0,4.0,32.0,,,,,,,,0,,,,,False,,15,2008.0
16001,160.0,3.0,1.0,1990.0,1.0,30.0,16.0,22.0,4.0,4.0,False,4.0,2006;2008;2010;2012,1,20.0,,20.0,2010,False,,15,2005.0
16101,161.0,3.0,1.0,1994.0,1.0,33.0,16.0,18.0,2.0,2.0,False,2.0,2010;2012,0,,,,,False,,15,2009.0
16102,161.0,3.0,2.0,1996.0,2.0,35.0,16.0,16.0,1.0,1.0,False,1.0,2012,0,,,,,False,,15,2011.0
16501,165.0,3.0,2.0,1988.0,1.0,27.0,16.0,24.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,0,,,,,False,,15,2003.0
16502,165.0,3.0,2.0,1992.0,2.0,31.0,16.0,20.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2007.0
16503,165.0,3.0,1.0,1998.0,3.0,37.0,16.0,16.0,1.0,1.0,False,1.0,2014,0,,,,,False,,15,2013.0
16701,167.0,3.0,1.0,1985.0,1.0,24.0,15.0,19.0,3.0,3.0,False,3.0,2000;2002;2004,3,15.0,17.0,19.0,2000;2002;2004,False,,15,2000.0
16702,167.0,3.0,2.0,1987.0,2.0,27.0,15.0,17.0,2.0,2.0,False,2.0,2002;2004,0,,,,,False,,15,2002.0
17201,172.0,3.0,2.0,1993.0,1.0,35.0,15.0,19.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2008.0
17401,174.0,1.0,1.0,1985.0,1.0,25.0,15.0,27.0,7.0,6.0,True,6.0,2000;2002;2004;2006;2008;2010,0,,,,,True,0.0,15,2000.0
17402,174.0,1.0,1.0,1990.0,2.0,29.0,16.0,22.0,4.0,4.0,False,4.0,2006;2008;2010;2012,0,,,,,False,,15,2005.0
17501,175.0,3.0,1.0,1982.0,1.0,24.0,20.0,30.0,6.0,3.0,True,3.0,2002;2004;2006,0,,,,,True,0.0,15,1997.0
17502,175.0,3.0,2.0,1983.0,2.0,26.0,17.0,29.0,7.0,5.0,True,5.0,2000;2002;2004;2006;2008,0,,,,,True,0.0,15,1998.0
17503,175.0,3.0,1.0,1986.0,3.0,28.0,16.0,26.0,5.0,4.0,True,4.0,2002;2006;2008;2010,0,,,,,True,0.0,15,2001.0
17504,175.0,3.0,1.0,1992.0,4.0,34.0,16.0,18.0,2.0,2.0,False,2.0,2008;2010,0,,,,,False,,15,2007.0
17901,179.0,3.0,2.0,1981.0,1.0,22.0,15.0,29.0,8.0,6.0,True,6.0,1996;1998;2000;2002;2004;2006,0,,,,,True,0.0,15,1996.0
17902,179.0,3.0,2.0,1983.0,2.0,25.0,15.0,29.0,8.0,6.0,True,6.0,1998;2000;2002;2004;2006;2008,0,,,,,True,0.0,15,1998.0
18001,180.0,3.0,1.0,1978.0,1.0,21.0,10.0,34.0,11.0,5.0,True,5.0,1994;1996;1998;2000;2002,2,16.0,18.0,18.0,1994;1996,True,1.0,15,1993.0
18002,180.0,3.0,1.0,1982.0,2.0,24.0,16.0,30.0,5.0,4.0,True,4.0,1998;2000;2002;2006,0,,,,,True,0.0,15,1997.0
18003,180.0,3.0,1.0,1984.0,3.0,27.0,16.0,28.0,3.0,2.0,True,2.0,2000;2002,0,,,,,True,0.0,15,1999.0
18301,183.0,3.0,1.0,1984.0,1.0,26.0,18.0,28.0,6.0,4.0,True,4.0,2002;2004;2006;2008,1,18.0,,18.0,2002,True,0.0,15,1999.0
18302,183.0,3.0,1.0,1987.0,2.0,29.0,15.0,19.0,3.0,3.0,False,3.0,2002;2004;2006,2,15.0,19.0,19.0,2002;2006,False,,15,2002.0
18303,183.0,3.0,2.0,1991.0,3.0,32.0,15.0,21.0,4.0,4.0,False,4.0,2006;2008;2010;2012,0,,,,,False,,15,2006.0
